,Unnamed: 0,Incident Number,Incident Date,Reason for Report,Impact of Incident,Country,State,County,City,Product Registration Number(s),Product Names,PC Codes,Active Ingredient(s),Overall Submission Description (may describe multiple incidents),clean
45,45,027317-00007,12/01/2014,Adverse Reaction,GA - Groundwater - Major (with possibly mixed types of water),US,NY,,East Hampton,000264-00330,Bolster 15g,098301,Aldicarb,"Bayer CropScience: 7 human, plant damge & water reports, Nov. 2014","bayer cropscience: 7 human, plant damge & water reports, nov. 2014"
61,61,027332-00001,08/01/2014,Non-adverse Reaction,"F - Other, ON - Other Nontarget",US,IA,,Garner,,,999998,Unknown,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
62,62,027332-00002,09/01/2014,Adverse Reaction,ON - Other Nontarget,US,IA,,Denison,,,999998,Unknown,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
63,63,027332-00002,09/01/2014,Adverse Reaction,ON - Other Nontarget,US,IA,,Denison,,,,Unknown,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
64,64,027332-00003,07/01/2014,Non-adverse Reaction,"HD - Human - Minor, ON - Other Nontarget",US,IA,,Waukee,,,,Unknown,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
65,65,027332-00004,05/01/2014,Adverse Reaction,ON - Other Nontarget,US,IA,,Bedford,,,044309,Clothianidin,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
66,66,027332-00007,05/01/2014,Non-adverse Reaction,"ON - Other Nontarget, P - Plant Damage (pre 1998 reg or undetermined)",US,IA,,Williamburg,,,080803,Atrazine,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
67,67,027332-00008,08/01/2014,Adverse Reaction,ON - Other Nontarget,US,IA,,Grundy Center,,,099100,Pyraclostrobin,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
68,68,027332-00011,08/01/2014,Adverse Reaction,ON - Other Nontarget,US,IA,,Cedar Rapids,,,999998,Unknown,"Iowa: individual bee kill reports derived from aggregate report were emailed to EFED, 10-012-013 thru 09/30/2014. ","iowa: individual bee kill reports derived aggregate report emailed efed, 10-012-013 thru 09/30/2014."
97,97,027375-00002,11/25/2014,Adverse Reaction,HC - Human - Moderate,US,IA,,Davenport,072155-00027,Home Pest Control Indoor & Outdoor Insect Killer Ready-To-Use,118831,beta-Cyfluthrin,"Bayer CropScience: 5 H-C, 1 H-B, 8 P-A.","bayer cropscience: 5 h-c, 1 h-b, 8 p-a."
98,98,027375-00003,12/11/2014,Adverse Reaction,HC - Human - Moderate,US,TN,,Morristown,072155-00080,Home Pest Plus Germ Killer Indoor & Outdoor Insect Killer Ready-To-Use,"118831, 064104","beta-Cyfluthrin, o-Phenylphenol, sodium salt","Bayer CropScience: 5 H-C, 1 H-B, 8 P-A.","bayer cropscience: 5 h-c, 1 h-b, 8 p-a."
99,99,027375-00004,12/08/2014,Adverse Reaction,HC - Human - Moderate,US,TX,,Lubbock,072155-00001," All-In-One Lawn, Weed & Crabgrass Killer Ready-To-Use","030019, 031520, 029802, 013803","2,4-D, dimethylamine salt, MCPP-P, DMA salt, Dicamba, dimethylamine salt, MSMA (and salts)","Bayer CropScience: 5 H-C, 1 H-B, 8 P-A.","bayer cropscience: 5 h-c, 1 h-b, 8 p-a."
100,100,027375-00006,11/30/2014,Adverse Reaction,HC - Human - Moderate,US,NC,,,000432-01212-071004,Sevin 2 % Lawn Insect Granular ,056801,Carbaryl,"Bayer CropScience: 5 H-C, 1 H-B, 8 P-A.","bayer cropscience: 5 h-c, 1 h-b, 8 p-a."
105,105,027384-00004,09/05/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Milwaukee,,,,Active Ingredient Unknown,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
106,106,027384-00005,11/08/2013,Adverse Reaction,ON - Other Nontarget,US,OR,,Portland,,,128849,Hexythiazox,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
107,107,027384-00005,11/08/2013,Adverse Reaction,ON - Other Nontarget,US,OR,,Portland,,,129099,Imidacloprid,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
108,108,027384-00006,12/08/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Dayton ,000279-03426,Mustang Maxx Insecticide,129064,Zeta-Cypermethrin,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
109,109,027384-00006,12/08/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Dayton ,,,,Incident not related to pesticides.,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
110,110,027384-00006,12/08/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Dayton ,,Unknown,059101,Chlorpyrifos,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
111,111,027384-00006,12/08/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Dayton ,,Unknown,057701,Malathion  (NO INERT USE),Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
112,112,027384-00006,12/08/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Dayton ,,Unknown,036501,Coumaphos,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
113,113,027384-00006,12/08/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Dayton ,,Prowl ,108501,Pendimethalin,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
114,114,027384-00006,12/08/2014,Adverse Reaction,ON - Other Nontarget,US,OR,,Dayton ,,Hopguard ,005115,Hop beta acids resin,Oregon Dept. of Agriculture: 7 ONT investigations. ,oregon dept. agriculture: 7 ont investigations.
138,138,027404-00001,02/04/2015,Adverse Reaction,ON - Other Nontarget,US,CA,Fresno,Huron,034704-00857,Warhawk,059101,Chlorpyrifos,"Email: EFED provided from Region 9 involving Bee losses in Fresno County, CA, incident occurred on02/02/2015. ","email: efed provided region 9 involving bee losses fresno county, ca, incident occurred on02/02/2015."
153,153,027415-00001,12/01/2014,Adverse Reaction,ON - Other Nontarget,US,TX,,Houston,,Unknown,,Unknown,"NPIC: 1 ONT, pesticide use at a nearby nursery may have caused the loss of 3-4 hives. ","npic: 1 ont, pesticide use nearby nursery may caused loss 3-4 hives."
154,154,027415-00001,12/01/2014,Adverse Reaction,ON - Other Nontarget,US,TX,,Houston,,,,Active Ingredient Unknown,"NPIC: 1 ONT, pesticide use at a nearby nursery may have caused the loss of 3-4 hives. ","npic: 1 ont, pesticide use nearby nursery may caused loss 3-4 hives."
180,180,027433-00001,02/04/2015,Adverse Reaction,ON - Other Nontarget,US,CA,Fresno,,034704-00857,Warhawk,059101,Chlorpyrifos,"Email: EFED received an update from the Fresno County, CA CAC on a bee kill inicident allegedly involving chlropyrifos. ","email: efed received update fresno county, ca cac bee kill inicident allegedly involving chlropyrifos."
193,193,027450-00001,09/01/2015,Adverse Reaction,ON - Other Nontarget,US,MA,,Westport,,Lannate Lv,090301,Methomyl,"Email: 12/02/2014, bee kill in Westport, MA, no pesticides deteceted. ","email: 12/02/2014, bee kill westport, ma, pesticides deteceted."
229,229,027498-00001,02/27/2015,Adverse Reaction,ON - Other Nontarget,US,CA,Fresno,,,Not Reported,,Not reported,"Email: bee kill incident received from EFED, 03-11-14, unknown pesticide at this time. ","email: bee kill incident received efed, 03-11-14, unknown pesticide time."
241,241,027507-00001,03/13/2015,Adverse Reaction,ON - Other Nontarget,US,FL,Pinella,,,Unknown Product,,Unknown Ingredient,"Email: 03-13-2015, Florida beekeeper alleges 2 hives were affected by the applications of pesticide(s), she is working with the University of Florida, she has contacted the Florida Dept. of Ag. ","email: 03-13-2015, florida beekeeper alleges 2 hives affected applications pesticide(s), working university florida, contacted florida dept. ag."
244,244,027520-00001,03/06/2015,Adverse Reaction,ON - Other Nontarget,US,CA,Orange,Ortega,,No Pesticide(S) Mentioned In Report,,No pesticides mentioned.,"Email: received from EFED, 03/302015, bee kills in Orange County March 6 -15.  ","email: received efed, 03/302015, bee kills orange county march 6 -15."
284,284,027544-00001,03/13/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,Tampa Bay,,Suspected Pesticide Use Led To Loss Of Bees,,Unknown,"Email: Tampa Bay, Florida beekeeper reported losing 2 hives, she suspects pesticides, 03-13-2015. ","email: tampa bay, florida beekeeper reported losing 2 hives, suspects pesticides, 03-13-2015."
285,285,027544-00001,03/13/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,Tampa Bay,,,,Active Ingredient Unknown,"Email: Tampa Bay, Florida beekeeper reported losing 2 hives, she suspects pesticides, 03-13-2015. ","email: tampa bay, florida beekeeper reported losing 2 hives, suspects pesticides, 03-13-2015."
292,292,027551-00001,04/06/2015,Adverse Reaction,HA - Human Fatality,US,HI,,,000524-00445,Roundup Herbicide,103601,Glyphosate-isopropylammonium,Monsanto: Includes 1 H-A. Symptoms prior to death are unknown. Death was due to over dose of the pesticide that contains Glyphosate as an active ingredient.,monsanto: includes 1 h-a. symptoms prior death unknown. death due dose pesticide contains glyphosate active ingredient.
326,326,027565-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,Tampa Bay,,No Pesticide(S) Identified,,No pesticide(s) identified.,"Email: FL beekeeper reported thousands of bees dying in agony, April 2015","email: fl beekeeper reported thousands bees dying agony, april 2015"
332,332,027571-00001,04/01/2015,Adverse Reaction,HB - Human - Major,US,SC,,,,Chloropicrin,081501,Chloropicrin,"Email: Region 4 reported a farmer was accidentally sprayed in the face with chloropicrin, farmer was air lifted to the Medical University of SC,, awakened from coma on 04/14/2015, 1 H-B","email: region 4 reported farmer accidentally sprayed face chloropicrin, farmer air lifted medical university sc,, awakened coma 04/14/2015, 1 h-b"
333,333,027572-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,Tampa,,Not Pesticide Related,,Not Pesticide Related.,"Email: FL beekeeper updated I027565, death of hive was not pesticide related. ","email: fl beekeeper updated i027565, death hive pesticide related."
339,339,027580-00001,04/10/2015,Adverse Reaction,ON - Other Nontarget,US,OR,Washington,,,No Pesticide Listed,,No pesticide(s) listed,"NPIC: Bee incident, ONT, no pesticide mentioned","npic: bee incident, ont, pesticide mentioned"
360,360,027610-00001,04/07/2015,Adverse Reaction,ON - Other Nontarget,US,CA,Ventura,Somis,000100-01350,Agri-Flex Miticide/Insecticide,"122804, 060109","Abamectin, Thiamethoxam","Syngenta:  Bee kill in lemon grove, Agri-Flex Miticide/Insecticide, 1 ONT, 04/07/2015.","syngenta: bee kill lemon grove, agri-flex miticide/insecticide, 1 ont, 04/07/2015."
385,385,027616-00001,05/01/2015,Adverse Reaction,ON - Other Nontarget,US,OR,,Dundee,,Unknown,,"NO INGREDIENT SPECIFIED, Unknown","Newspaper article: Winery attributes Massive Bee-off to pesticides, 05/01/2015.","newspaper article: winery attributes massive bee-off pesticides, 05/01/2015."
386,386,027617-00001,04/30/2015,Adverse Reaction,ON - Other Nontarget,US,CO,,Larimer,,No Product Specified,,No Ingredient Specified,"NPIC: Dead bees observed on sidewalk in Larime, CO, 04/30/2015","npic: dead bees observed sidewalk larime, co, 04/30/2015"
397,397,027629-00001,03/04/2015,Adverse Reaction,HB - Human - Major,US,LA,,Monroe,,Temik Brand (Non- Specific),098301,Aldicarb,"BAYER CROPSCIENCE: Includes human and plant incidents. Some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea and dizziness. Plant incident includes severe burn and then died after being exposed to the product. ","bayer cropscience: includes human plant incidents. some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea dizziness. plant incident includes severe burn died exposed product."
398,398,027629-00003,04/14/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,Palm City,000432-00772,Delta Dust Insecticide,097805,Deltamethrin,"BAYER CROPSCIENCE: Includes human and plant incidents. Some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea and dizziness. Plant incident includes severe burn and then died after being exposed to the product. ","bayer cropscience: includes human plant incidents. some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea dizziness. plant incident includes severe burn died exposed product."
399,399,027629-00004,03/06/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,Boynton Beach,000432-00772,Delta Dust Insecticide,097805,Deltamethrin,"BAYER CROPSCIENCE: Includes human and plant incidents. Some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea and dizziness. Plant incident includes severe burn and then died after being exposed to the product. ","bayer cropscience: includes human plant incidents. some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea dizziness. plant incident includes severe burn died exposed product."
400,400,027629-00005,03/16/2015,Adverse Reaction,HB - Human - Major,US,OH,,Cincinnati,000264-00334-071004,Sevin Concentrate Bug Killer,056801,Carbaryl,"BAYER CROPSCIENCE: Includes human and plant incidents. Some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea and dizziness. Plant incident includes severe burn and then died after being exposed to the product. ","bayer cropscience: includes human plant incidents. some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea dizziness. plant incident includes severe burn died exposed product."
401,401,027629-00006,03/20/2015,Adverse Reaction,HC - Human - Moderate,US,GA,,,000432-01209-071004,Sevin,056801,Carbaryl,"BAYER CROPSCIENCE: Includes human and plant incidents. Some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea and dizziness. Plant incident includes severe burn and then died after being exposed to the product. ","bayer cropscience: includes human plant incidents. some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea dizziness. plant incident includes severe burn died exposed product."
402,402,027629-00007,03/23/2015,Adverse Reaction,HC - Human - Moderate,US,CA,,,000264-00334-071004,Sevin Concentrate Bug Killer,056801,Carbaryl,"BAYER CROPSCIENCE: Includes human and plant incidents. Some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea and dizziness. Plant incident includes severe burn and then died after being exposed to the product. ","bayer cropscience: includes human plant incidents. some human symptoms include gastrointestinal discomfort, hypothermia, seizure, congestion, diarrhea, throat irritation, dizziness, ocular pain, skin irritation, fever, confusion, nausea dizziness. plant incident includes severe burn died exposed product."
437,437,027656-00001,04/12/2015,Adverse Reaction,ON - Other Nontarget,US,CA,San Francisco,San Francisco,086203-00011-059639,Safari 20sg Insecticide,044312,Dinotefuran,"Valent: several trees were sprayed with Safari 20 SG killing approximately 200 bumble bees, April 2015. ","valent: several trees sprayed safari 20 sg killing approximately 200 bumble bees, april 2015."
461,461,027668-00001,05/12/2015,Adverse Reaction,"F - Other, ON - Other Nontarget",US,MD,,Baltimore,069587-00001,Jomax,064104,"o-Phenylphenol, sodium salt","NPIC: 1 beehive killed in June of 2014, ONT ","npic: 1 beehive killed june 2014, ont"
462,462,027668-00002,06/01/2014,Adverse Reaction,ON - Other Nontarget,US,MD,,Baltimore,,,,Unknown active ingredient,"NPIC: 1 beehive killed in June of 2014, ONT ","npic: 1 beehive killed june 2014, ont"
535,535,027719-00001,04/29/2015,Adverse Reaction,ON - Other Nontarget,US,SD,,Bruce ,DKC48-12RIB,Dekalb Brand,"006526, 029072, 044309","Bacillus thuringiensis Cry1Ab protein and the genetic material (PV-ZMBK07) necessary for its production in corn event MON-00810-6; % dry weight, Bacillus firmus strain I-1582, Clothianidin","South Dakota Agricultural Laboratories: dead honey bees tested positive for clothianidin, corn planting occurring in area at time of bee die-off, incident 04/29/2015.  ","south dakota agricultural laboratories: dead honey bees tested positive clothianidin, corn planting occurring area time bee die-off, incident 04/29/2015."
536,536,027720-00001,05/01/2015,Adverse Reaction,ON - Other Nontarget,US,AZ,,Pinal,,Unknown,,Unknown,"NPIC: 15 honey bees and butter fly found dead, pesticide tanks seen in nearby farm, 05/25/2015. ","npic: 15 honey bees butter fly found dead, pesticide tanks seen nearby farm, 05/25/2015."
543,543,027727-00004,03/11/2015,Adverse Reaction,"HC - Human - Moderate, HD - Human - Minor",US,FL,,Homestead,062719-00004,Vikane Gas Fumigant,078003,Sulfuryl fluoride,"Dow AgroSciences: Includes ground water, human and plant incidents. ","dow agrosciences: includes ground water, human plant incidents."
565,565,027747-00001,05/15/2015,Adverse Reaction,ON - Other Nontarget,US,AZ,Maricopa,,,Unknown,,Unknown,"NPIC: 12 bees were found dead in Maricopa County, AZ, 06/09/2015.","npic: 12 bees found dead maricopa county, az, 06/09/2015."
566,566,027748-00001,04/27/2015,Adverse Reaction,ON - Other Nontarget,US,OH,,,,Imidacloprid,129099,Imidacloprid,"Email: test results form Ohio butterfly kill, bee tissue test botched, only plant tissue test results.  ","email: test results form ohio butterfly kill, bee tissue test botched, plant tissue test results."
567,567,027749-00001,06/01/2015,Adverse Reaction,ON - Other Nontarget,US,NY,,Clifton Park,,Unknown,,Unknown,"Email: New bee kill, June 2015, from NYSDEC. ","email: new bee kill, june 2015, nysdec."
584,584,027766-00001,06/01/2015,Adverse Reaction,ON - Other Nontarget,US,NC,,Smithfield,,Roundup,417300,Glyphosate,"NPIC: bee kill report, ONT, 100,000 or more bees lost, June 2015. ","npic: bee kill report, ont, 100,000 bees lost, june 2015."
585,585,027767-00001,05/19/2015,Adverse Reaction,ON - Other Nontarget,US,CO,,Commerce City,,Unknown,,Unknown,"NPIC: ONT, 1000s of bees killed, 1 hive dead, 05-19-2015. ","npic: ont, 1000s bees killed, 1 hive dead, 05-19-2015."
589,589,027769-00001,04/26/2015,Adverse Reaction,ON - Other Nontarget,US,SD,,Bruce ,,Dekalb Dkc 48-12rib,"006526, 044309","Bacillus thuringiensis Cry1Ab protein and the genetic material (PV-ZMBK07) necessary for its production in corn event MON-00810-6; % dry weight, Clothianidin","Bayer Cropscience: update to May 2015 bee-die off in SD, updates I027719 ","bayer cropscience: update may 2015 bee-die sd, updates i027719"
590,590,027770-00001,05/12/2015,Adverse Reaction,ON - Other Nontarget,US,GA,Polk,,,Unknown,,Unknown,"NPIC: it is alleged unknown pesticides kill 1/2 a bee colony in Polk, GA, 05-12-2015","npic: alleged unknown pesticides kill 1/2 bee colony polk, ga, 05-12-2015"
610,610,027774-00001,06/12/2015,Adverse Reaction,HC - Human - Moderate,US,OR,Douglas County,,005905-00579,Velossa Selective Herbicide,"107201, 080803, 030001","Hexazinone, Atrazine, 2,4-D","Helena: Aerial spayer spayed farm workers, 05-20-2015, multiple H-C, ","helena: aerial spayer spayed farm workers, 05-20-2015, multiple h-c,"
642,642,027783-00001,06/15/2015,Adverse Reaction,ON - Other Nontarget,US,WA,,Spokane,,Unkown,,Unknown,"NPIC: mass bee die-off reported in Spokane, June 23 2015, June 15 local farmer applied unknown fungicide. ","npic: mass bee die-off reported spokane, june 23 2015, june 15 local farmer applied unknown fungicide."
650,650,027788-00004,05/03/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,Avon Park,072155-00080,Home Pest Plus Germ Killer Indoor & Outdoor Insect Killer Ready-To-Use,"064104, 118831","o-Phenylphenol, sodium salt, beta-Cyfluthrin","Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
651,651,027788-00005,04/28/2015,Adverse Reaction,HC - Human - Moderate,US,WA,,,072155-00073,"3-In-1 Insect, Disease & Mite Control Ready-To-Spray","109302, 129099, 128997","Fluvalinate, Imidacloprid, Tebuconazole","Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
652,652,027788-00006,02/14/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,Lakeland,072155-00058,Carpenter Ant & Termite Killer Plus Concentrate,118831,beta-Cyfluthrin,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
653,653,027788-00007,04/19/2015,Adverse Reaction,HC - Human - Moderate,US,NJ,,Sayreville,072155-00029,Bayer Advanced Complete Insect Killer For Soil And Turf Concentrate,"118831, 129099","beta-Cyfluthrin, Imidacloprid","Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
654,654,027788-00008,05/13/2015,Adverse Reaction,HC - Human - Moderate,US,NC,,Creedmoor,072155-00014,"Disease Control For Roses, Flowers & Shrubs ",128997,Tebuconazole,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
655,655,027788-00009,05/17/2015,Adverse Reaction,"HB - Human - Major, HC - Human - Moderate",US,VA,,Richmond,,Unspecified Bayer Fungicide,128997,Tebuconazole,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
656,656,027788-00010,05/02/2015,Adverse Reaction,HC - Human - Moderate,US,TX,,Snyder,000432-00772,Delta Dust ,097805,Deltamethrin,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
657,657,027788-00011,05/02/2015,Adverse Reaction,HC - Human - Moderate,US,NJ,,,000432-01211-071004,Garden Tech Sevin Ready-To-Use,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
658,658,027788-00012,04/29/2015,Adverse Reaction,HC - Human - Moderate,US,IA,,,000432-01212-071004,Seven 2% Lawn Insect Granular,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
659,659,027788-00013,05/02/2015,Adverse Reaction,HC - Human - Moderate,US,TN,,,000432-01209-071004,Sevin Ready To Use 5% Dust Bug Killer,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
660,660,027788-00014,05/13/2015,Adverse Reaction,HC - Human - Moderate,US,AR,,,000432-01209-071004,Sevin Ready To Use 5% Dust Bug Killer,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
